Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
N-F1,0.25,DOC,94.62,74.28,67.86,80.49,85.58,74.72,92.33,82.63,86.8,78.04,91.23,78.43,82.25
N-F1,0.25,DeepUNK,97.97,39.64,72.71,86.41,89.85,89.51,93.51,91.98,86.85,89.29,74.53,60.68,81.08
N-F1,0.25,ADB,73.88,82.42,61.55,74.29,83.77,90.36,91.91,82.39,86.49,67.72,87.2,49.48,77.62
N-F1,0.25,SCL,91.19,60.92,70.96,84.06,79.51,69.14,78.95,68.43,5.82,85.82,71.75,43.47,67.5
N-F1,0.25,AB,79.68,55.5,75.3,48.78,81.83,83.69,87.66,87.46,71.63,84.51,79.25,67.72,75.25
N-F1,0.25,KNNCon,89.65,59.71,31.13,59.8,67.29,64.66,85.76,64.15,55.56,46.22,72.56,33.56,60.84
N-F1,0.25,DyEn,98.27,68.01,19.53,48.99,72.27,56.98,89.28,74.71,79.13,68.28,71.87,36.17,65.29
N-F1,0.25,LLM-MaxSoftmax,35.04,21.8,23.4,39.8,37.5,28.33,48.57,38.29,52.27,36.37,56.22,43.69,38.44
N-F1,0.25,LLM-OpenMax,85.88,67.29,25.7,77.46,90.9,71.3,94.74,88.45,82.84,60.98,90.71,66.78,75.25
N-F1,0.25,LLM-TempScale,33.99,22.2,23.87,39.32,37.33,28.64,48.6,37.71,48.06,34.36,56.75,45.13,38.0
N-F1,0.25,LLM-Energy,93.16,89.45,84.95,88.18,91.54,94.73,96.16,91.98,92.56,86.68,94.63,71.34,89.61
N-F1,0.25,LLM-LogitNorm,37.02,14.36,43.05,66.98,73.93,21.51,90.22,69.97,45.0,31.33,92.26,57.43,53.59
N-F1,0.25,LLM-Entropy,39.34,27.3,38.74,42.3,30.7,30.99,43.64,36.81,56.24,45.66,53.13,41.74,40.55
N-F1,0.25,LLM-KLMatching,21.22,12.38,16.77,29.81,21.35,20.79,32.93,28.38,29.62,24.75,40.09,14.81,24.41
N-F1,0.25,LLM-MaxLogit,92.68,89.02,84.89,87.62,91.21,94.64,96.07,91.6,92.69,86.25,94.59,68.51,89.15
N-F1,0.5,DOC,86.06,71.17,67.26,70.04,78.82,72.34,85.25,76.74,66.33,77.22,76.89,53.24,73.45
N-F1,0.5,DeepUNK,96.09,31.88,62.84,68.7,78.49,79.72,84.83,82.31,66.35,78.1,67.07,46.29,70.22
N-F1,0.5,ADB,78.76,83.76,33.12,73.47,79.72,88.26,86.42,74.93,82.44,73.53,81.15,18.23,71.15
N-F1,0.5,SCL,81.16,49.8,44.12,65.43,61.8,53.43,70.24,53.78,2.32,75.32,52.83,57.47,55.64
N-F1,0.5,AB,63.34,47.9,55.8,29.88,67.64,70.7,75.8,75.02,57.34,68.76,62.14,48.7,60.25
N-F1,0.5,KNNCon,88.16,65.6,35.32,55.04,54.2,71.5,77.67,57.0,76.29,59.16,63.42,32.61,61.33
N-F1,0.5,DyEn,97.92,66.27,18.21,53.7,64.22,55.15,79.54,55.02,69.66,70.57,63.83,18.16,59.35
N-F1,0.5,LLM-MaxSoftmax,32.88,29.28,53.29,39.7,34.44,27.32,40.32,35.37,53.28,40.84,50.85,31.19,39.06
N-F1,0.5,LLM-OpenMax,92.1,79.56,5.87,74.24,81.18,78.59,88.04,80.19,80.89,74.44,77.6,48.13,71.74
N-F1,0.5,LLM-TempScale,32.88,29.28,52.0,39.7,34.44,27.97,40.34,35.37,51.87,40.21,51.48,29.56,38.76
N-F1,0.5,LLM-Energy,98.06,86.82,74.53,80.09,83.96,87.56,90.95,85.44,81.12,78.59,86.77,50.55,82.04
N-F1,0.5,LLM-LogitNorm,66.1,45.27,29.71,76.87,80.74,51.27,90.62,80.69,79.74,63.66,88.55,46.88,66.68
N-F1,0.5,LLM-Entropy,35.86,29.13,63.38,34.6,25.02,24.84,34.17,30.05,54.0,46.44,44.73,24.6,37.24
N-F1,0.5,LLM-KLMatching,24.4,23.48,11.45,33.75,25.6,22.29,27.84,26.8,36.77,33.03,32.42,7.66,25.46
N-F1,0.5,LLM-MaxLogit,96.0,86.88,75.47,80.87,84.52,87.85,91.72,86.25,82.32,79.5,88.26,47.39,82.25
N-F1,0.75,DOC,71.05,50.47,38.87,47.52,59.92,63.45,70.25,61.1,42.27,56.72,53.92,28.62,53.68
N-F1,0.75,DeepUNK,91.81,28.15,36.45,37.29,60.91,60.71,68.49,63.89,42.35,55.18,48.5,24.0,51.48
N-F1,0.75,ADB,70.98,73.78,30.79,54.8,67.71,74.56,77.76,62.32,72.91,58.99,72.87,6.71,60.35
N-F1,0.75,SCL,86.53,33.79,26.03,39.99,45.97,40.77,60.02,44.01,3.51,58.25,44.34,25.19,42.37
N-F1,0.75,AB,46.14,35.28,32.96,5.12,50.62,52.54,58.98,57.96,41.78,50.62,44.32,26.7,41.92
N-F1,0.75,KNNCon,87.47,60.68,27.07,51.54,52.96,64.47,74.13,52.22,65.82,61.92,49.87,22.64,55.9
N-F1,0.75,DyEn,87.27,51.22,23.03,35.09,56.05,47.53,72.76,52.82,55.61,58.31,54.69,12.85,50.6
N-F1,0.75,LLM-MaxSoftmax,57.75,30.79,45.66,31.06,35.89,31.19,36.72,34.61,48.11,44.17,49.1,18.51,38.63
N-F1,0.75,LLM-OpenMax,92.82,57.69,7.17,48.92,61.38,75.77,76.45,65.6,59.3,59.3,56.03,38.09,58.21
N-F1,0.75,LLM-TempScale,57.75,31.51,45.02,31.06,35.95,31.21,38.49,34.63,47.64,43.42,49.53,17.75,38.66
N-F1,0.75,LLM-Energy,98.03,72.16,39.77,55.3,62.49,70.24,74.89,63.37,61.31,56.29,70.46,31.9,63.02
N-F1,0.75,LLM-LogitNorm,81.65,59.99,38.7,63.66,69.23,63.4,82.64,67.14,71.18,60.75,75.62,27.94,63.49
N-F1,0.75,LLM-Entropy,61.27,32.37,50.71,27.62,29.39,27.53,28.4,31.13,48.04,45.81,41.52,17.8,36.8
N-F1,0.75,LLM-KLMatching,50.32,20.32,9.82,23.98,21.65,21.35,22.66,21.57,37.74,32.15,34.55,9.29,25.45
N-F1,0.75,LLM-MaxLogit,96.98,73.59,42.2,57.73,65.17,71.98,77.9,65.96,64.38,57.99,74.79,31.79,65.04
